1	738.00	1646.00	908
1	738.00	1646.00	503
1	746.00	1648.00	607
1	738.00	1646.00	389
1	739.00	1647.00	453
1	755.00	1612.00	417
1	739.00	1650.00	376
1	746.00	1648.00	340
1	739.00	1647.00	448
1	739.00	1647.00	345
1	751.00	1652.00	357
1	739.00	1647.00	397
1	738.00	1647.00	330
1	738.00	1647.00	320
1	739.00	1647.00	332
1	745.00	1647.00	341
1	745.00	1647.00	328
1	738.00	1647.00	330
1	738.00	1647.00	329
1	746.00	1601.00	407
1	738.00	1646.00	326
1	739.00	1647.00	323
1	738.00	1647.00	344
1	787.00	1644.00	384
1	743.00	1651.00	313
1	738.00	1650.00	313
1	738.00	1646.00	418
1	738.00	1647.00	321
1	738.00	1646.00	324
1	739.00	1647.00	359
